entity_id,state,last_changed
sensor.multisensor_raw_air_quality,317.2408,2025-09-12T08:32:01.786Z
sensor.multisensor_raw_air_quality,317.351,2025-09-12T08:37:01.597Z
sensor.multisensor_raw_air_quality,317.903,2025-09-12T08:42:01.638Z
sensor.multisensor_raw_air_quality,317.4623,2025-09-12T08:47:01.621Z
sensor.multisensor_raw_air_quality,317.1296,2025-09-12T08:57:01.607Z
sensor.multisensor_raw_air_quality,318.5612,2025-09-12T09:02:01.721Z
sensor.multisensor_raw_air_quality,317.7929,2025-09-12T09:07:01.759Z
sensor.multisensor_raw_air_quality,318.8888,2025-09-12T09:12:01.617Z
sensor.multisensor_raw_air_quality,318.6704,2025-09-12T09:17:01.749Z
sensor.multisensor_raw_air_quality,316.9082,2025-09-12T09:27:01.616Z
sensor.multisensor_raw_air_quality,317.0184,2025-09-12T09:32:01.669Z
sensor.multisensor_raw_air_quality,316.5735,2025-09-12T09:37:01.622Z
sensor.multisensor_raw_air_quality,314.999,2025-09-12T09:42:01.857Z
sensor.multisensor_raw_air_quality,303.9786,2025-09-12T09:47:01.684Z
sensor.multisensor_raw_air_quality,288.7592,2025-09-12T09:52:01.628Z
sensor.multisensor_raw_air_quality,284.5959,2025-09-12T09:57:01.642Z
sensor.multisensor_raw_air_quality,287.8796,2025-09-12T10:02:01.729Z
sensor.multisensor_raw_air_quality,288.7592,2025-09-12T10:07:01.628Z
sensor.multisensor_raw_air_quality,292.9112,2025-09-12T10:12:01.694Z
sensor.multisensor_raw_air_quality,296.3673,2025-09-12T10:17:01.636Z
sensor.multisensor_raw_air_quality,299.7163,2025-09-12T10:22:01.700Z
sensor.multisensor_raw_air_quality,303.598,2025-09-12T10:27:01.672Z
sensor.multisensor_raw_air_quality,304.6092,2025-09-12T10:32:01.662Z
sensor.multisensor_raw_air_quality,306.7255,2025-09-12T10:37:01.646Z
sensor.multisensor_raw_air_quality,308.3143,2025-09-12T10:42:01.662Z
sensor.multisensor_raw_air_quality,308.9194,2025-09-12T10:47:01.649Z
sensor.multisensor_raw_air_quality,309.6398,2025-09-12T10:52:01.652Z
sensor.multisensor_raw_air_quality,310.5929,2025-09-12T10:57:01.660Z
sensor.multisensor_raw_air_quality,311.8888,2025-09-12T11:02:01.730Z
sensor.multisensor_raw_air_quality,313.2837,2025-09-12T11:07:01.672Z
sensor.multisensor_raw_air_quality,314.999,2025-09-12T11:12:01.661Z
sensor.multisensor_raw_air_quality,315.7898,2025-09-12T11:17:01.659Z
sensor.multisensor_raw_air_quality,316.0143,2025-09-12T11:22:01.699Z
sensor.multisensor_raw_air_quality,316.6847,2025-09-12T11:27:01.713Z
sensor.multisensor_raw_air_quality,318.0132,2025-09-12T11:32:01.667Z
sensor.multisensor_raw_air_quality,318.6704,2025-09-12T11:37:01.673Z
sensor.multisensor_raw_air_quality,320.0786,2025-09-12T11:42:01.669Z
sensor.multisensor_raw_air_quality,319.6602,2025-09-12T11:47:01.679Z
sensor.multisensor_raw_air_quality,321.9684,2025-09-12T11:52:01.673Z
sensor.multisensor_raw_air_quality,324.2214,2025-09-12T11:57:01.722Z
sensor.multisensor_raw_air_quality,325.0276,2025-09-12T12:02:01.718Z
sensor.multisensor_raw_air_quality,325.2276,2025-09-12T12:07:01.681Z
sensor.multisensor_raw_air_quality,326.4214,2025-09-12T12:12:01.701Z
sensor.multisensor_raw_air_quality,327.4041,2025-09-12T12:17:01.709Z
sensor.multisensor_raw_air_quality,328.1826,2025-09-12T12:22:01.689Z
sensor.multisensor_raw_air_quality,328.5694,2025-09-12T12:27:01.693Z
sensor.multisensor_raw_air_quality,328.7622,2025-09-12T12:32:01.713Z
sensor.multisensor_raw_air_quality,330.6684,2025-09-12T12:37:01.728Z
sensor.multisensor_raw_air_quality,331.6061,2025-09-12T12:42:01.740Z
sensor.multisensor_raw_air_quality,331.7928,2025-09-12T12:47:01.729Z
sensor.multisensor_raw_air_quality,332.35,2025-09-12T12:52:01.738Z
sensor.multisensor_raw_air_quality,332.7194,2025-09-12T12:57:01.701Z
sensor.multisensor_raw_air_quality,334.9041,2025-09-12T13:02:01.756Z
sensor.multisensor_raw_air_quality,336.5071,2025-09-12T13:07:01.724Z
sensor.multisensor_raw_air_quality,336.8592,2025-09-12T13:12:01.731Z
sensor.multisensor_raw_air_quality,335.9755,2025-09-12T13:17:01.708Z
sensor.multisensor_raw_air_quality,335.798,2025-09-12T13:22:01.725Z
sensor.multisensor_raw_air_quality,337.7337,2025-09-12T13:27:01.720Z
sensor.multisensor_raw_air_quality,338.2541,2025-09-12T13:32:01.733Z
sensor.multisensor_raw_air_quality,338.7714,2025-09-12T13:37:01.740Z
sensor.multisensor_raw_air_quality,339.2857,2025-09-12T13:42:01.728Z
sensor.multisensor_raw_air_quality,339.4572,2025-09-12T13:47:01.723Z
sensor.multisensor_raw_air_quality,340.3051,2025-09-12T13:52:01.854Z
sensor.multisensor_raw_air_quality,340.8112,2025-09-12T13:57:01.743Z
sensor.multisensor_raw_air_quality,341.1459,2025-09-12T14:02:01.733Z
sensor.multisensor_raw_air_quality,341.9775,2025-09-12T14:07:01.746Z
sensor.multisensor_raw_air_quality,340.8112,2025-09-12T14:12:01.734Z
sensor.multisensor_raw_air_quality,341.4796,2025-09-12T14:17:01.741Z
sensor.multisensor_raw_air_quality,341.8123,2025-09-12T14:22:01.744Z
sensor.multisensor_raw_air_quality,342.8021,2025-09-12T14:27:01.745Z
sensor.multisensor_raw_air_quality,341.8123,2025-09-12T14:32:01.745Z
sensor.multisensor_raw_air_quality,341.6459,2025-09-12T14:37:01.847Z
sensor.multisensor_raw_air_quality,341.8123,2025-09-12T14:42:01.748Z
sensor.multisensor_raw_air_quality,342.8021,2025-09-12T14:47:01.787Z
sensor.multisensor_raw_air_quality,343.6173,2025-09-12T14:57:01.784Z
sensor.multisensor_raw_air_quality,342.9653,2025-09-12T15:02:01.859Z
sensor.multisensor_raw_air_quality,345.0663,2025-09-12T15:07:01.772Z
sensor.multisensor_raw_air_quality,344.2643,2025-09-12T15:12:01.757Z
sensor.multisensor_raw_air_quality,344.5857,2025-09-12T15:17:01.771Z
sensor.multisensor_raw_air_quality,344.4255,2025-09-12T15:22:01.806Z
sensor.multisensor_raw_air_quality,344.7459,2025-09-12T15:27:01.775Z
sensor.multisensor_raw_air_quality,345.7021,2025-09-12T15:32:01.776Z
sensor.multisensor_raw_air_quality,346.1755,2025-09-12T15:37:01.788Z
sensor.multisensor_raw_air_quality,345.7021,2025-09-12T15:42:01.808Z
sensor.multisensor_raw_air_quality,344.7459,2025-09-12T15:47:01.832Z
sensor.multisensor_raw_air_quality,343.4551,2025-09-12T15:52:01.794Z
